Tú tomarás.,Nde pejapyhyt.
Nosotras defenderemos.,Ore ropytyvõt.
Tú no agarraste este vientre.,Nde ndapepyhyikuri ko tye.
Ellas no secarán aquellas babas.,Nombopiruit hikuái umi juruaysykuéra.
Él no empleaba con esas conversaciones.,Ha'e ndoporuimi umi ñemongetakuéra ndive.
Él no habla.,Ha'e noñomongetai.
Ella no cederá de nuestros cines.,Ha'e nome'ẽit ore ta'angamýikuéragua.
Ellas no obraban.,Ha'ekuéra ndokakaimi.
Ellas multiplicarán.,Ha'ekuéra oñemoñat.
Yo sanaré desde estas llaves.,Che amohesãit ko'ã mbotyhakuéra guive.
Vosotras iniciasteis.,Peẽ peñepyrũkuri.
Nosotros perderemos.,Ñande ñamokañyt.
Vosotros obedecéis en vuestros cucos.,Peẽ peñe'ẽrendu pende kukukuérape.
Vosotros no iniciasteis.,Peẽ napeñepyrũikuri.
Ellos no jugaron a ese amanecer.,Ha'ekuéra noñembosaráirikuri pe arasẽme.
Vosotros no desaparecíais.,Peẽ napekañyimi.
Yo comuniqué.,Che amomarandukuri.
Yo ruedo esos peligros.,Che ajere umi ñemongyhyjekuéra.
Tú ladrarás.,Nde peñarõt.
Él no cabeceaba por aquella habla.,Ha'e noakãmbovavaimi aipo ñe'ẽre.
Nosotras elevaremos aquel tropel a ese saber.,Ore romopu'ãt aipo ko'i pe pokuaape.
Yo no incorporaba vuestro fin a este defecto.,Che namoingeimi pene tenonderã ko meguãme.
Ellas no sobrevivieron.,Ha'ekuéra ndoikoveikuri.
Ellas no echarán aquellos verdugos.,Ha'ekuéra ndoityit umi jukahakuéra.
Ellas trataron.,Ha'ekuéra oñe'ẽkuri.
Ellos no manifiestan.,Ndeho'yita hikuái.
Ellos giraron.,Opyryrỹikuri hikuái.
Tú no gustas.,Nde napekumbyi.
Nosotras perdíamos.,Ore rorokañymi.
Tú machacabas los víveres.,Nde pemohu'ũmi tembi'urãnguéra.
Vosotras no presentáis.,Peẽ ndapeguerui.
Tú no discutiste.,Nde ndapejua'oikuri.
Él mantendrá en aquellos promotores.,Ha'e orekot umi motenondehakuérape.
Nosotros no insistimos.,Ore ndorotu'uikuri.
Nosotros no insistimos.,Ñande ndajatu'ui.
Yo seguí tu vidente.,Che amuñakuri nde ohechapukúva.
Ella no diferencia aquellas congratulaciones.,Ha'e nombojoavyi umi guerohorykuéra.
Vosotros defendisteis.,Peẽ pepytyvõkuri.
Vosotras confundís desde nuestros pagos.,Peẽ pemoapañuãi ñane mbopopeguakuéra guive.
Ellas desafían esos ingresos.,Oñe'ẽreity hikuái umi jeikekuéra.
Nosotros finalizaremos.,Ore romombat.
Él no echaba.,Ha'e nomomboimi.
Él no cortaba por aquellas imágenes.,Ha'e nokytĩrimi umi ta'angakuéra rupi.
Nosotros no ladramos.,Ñande nañañarõikuri.
Nosotros no ladramos.,Ore noroñarõi.
Nosotras sanamos.,Ñande ñamohesãikuri.
Nosotras sanamos.,Ore romohesãi.
Nosotras apresamos este bajo.,Ore romonambi ko yvy'ã.
Nosotras apresamos este bajo.,Ñande ñamonambikuri ko yvy'ã.
Él desmotaba esa descontenta en aquel esguince.,Ha'e okopimi upe vy'a'ỹ amo karáupe.
Vosotras no pintáis nuestros escritos.,Peẽ napemboparai ore tembihaikuéra.
Él toca esta destinataria.,Ha'e oñatõi ko jararã.
Nosotras no convertiremos vuestras veces.,Ore norombovait pende jevykuéra.
Nosotras falleceremos.,Ore romanot.
Vos no quedas.,Nde ndapepytai.
Él no expresó a esa tarea.,Ha'e ndeho'yitakuri ku tembiapope.
Él no caminará.,Ha'e ndoguatait.
Él presentará.,Ha'e orut.
Ella no recuperó.,Ha'e ndorojevyikuri.
Vosotras no admiráis.,Peẽ napeporãngarekoi.
Yo entregaba.,Che ambohasami.
Él no defendió.,Ha'e nomoñuvãikuri.
Vos gustabas.,Nde pekumbymi.
Nosotras revelamos estos ponientes.,Ñande ñambokuaa ko'ã kuarahyreikekuéra.
Nosotras revelamos estos ponientes.,Ñande jakuaaukakuri ã kuarahyreikekuéra.
Vos no ahondaste.,Nde napembohypy'ũikuri.
Yo conté.,Che amombe'ukuri.
Vosotros no fijaréis.,Peẽ ndapejatykait.
Nosotros no preparamos las travesías por nuestros maridos.,Ñande ndajasako'iri jehasakuéra ñane ménakuéra rupi.
Nosotros no preparamos las travesías por nuestros maridos.,Ñande ndajasako'irikuri jehasakuéra ore ménakuéra rupi.
Él no refresca vuestra fiesta con nuestro sopapo.,Ha'e nomoro'ysãi pende arete ore tovapete ndive.
Tú embobaste estos almuerzos.,Nde pembojurujakuri ã karukuéra.
Yo no cambiaba aquel descontento.,Che namoambueimi aipo vy'a'ỹ.
Vos lanzaste del riesgo.,Nde pepoikuri kyhyjerãgui.
Nosotros no trabajamos.,Ore noromba'apoikuri.
Nosotros no trabajamos.,Ñande nañamba'apoi.
Vos penarás ese bautismo hasta esas amistades.,Nde peãhot ku ñemongarai umi ñoirũnguéra meve.
Ellas no confían.,Ndojeroviai hikuái.
Ellas movilizan.,Ha'ekuéra omongu'e.
Tú reconocías.,Nde pekuaami.
Él añejaba vuestros desarrollos.,Ha'e ombotujami pene akãrapu'ãnguéra.
Él defiende.,Ha'e opytyvõ.
Él no acercaba.,Ha'e nombojaimi.
Ellas no cruzarán.,Nombojuasait hikuái.
Vos no comenzaste.,Nde napemboypyikuri.
Ellas añorarán estas paredes.,Onga'ut hikuái ã ogykekuéra.
Vosotras no proseguís.,Peẽ ndapejapovei.
Yo obraba.,Che akakami.
Ellas giraron.,Oñembojerekuri hikuái.
Vosotras conocéis esas desinfecciones.,Peẽ pekuaa umi ñemopotĩnguéra.
Él no reflexionaba.,Ha'e noimo'ãimi.
Vosotros no ponéis desde vuestros amores.,Peẽ napemoĩri pene tembiayhukuéra guive.
Vosotras comunicaréis vuestro prometido.,Peẽ pekuaaukat pene menarã.
Vos no metías.,Nde napemoingeimi.
Vosotras voláis.,Peẽ petutu.
Vos no viciaste los pilares.,Nde napembohekovairikuri okytakuéra.
Tú no morías.,Nde ndapearapaimi.
Nosotros no admiramos.,Ñande nañaporãngarekoikuri.
Nosotros no admiramos.,Ore noromomba'ei.
Nosotros no dudamos.,Ore ndoropy'ahetaikuri.
Nosotros no dudamos.,Ore noropy'amokõiri.
Ellas no proseguirán.,Ha'ekuéra ndojapoveit.
Nosotras teníamos.,Ñande jaguerekomi.
Ellos no rectificaban aquella fracasada.,Ha'ekuéra nomokarapã'oimi ako javyhára.
Vosotras no participasteis con estas lanzas.,Peẽ napemomaranduikuri ko'ã kysevukukuérandi.
Tú no reflejaste esa opción.,Nde ndapejajáirikuri upe poravo.
Vosotros trotasteis.,Peẽ peñanikuri.
Vos pararás por aquellos papeles.,Nde pepytat umi kuatiakuéra rehe.
Tú aconteces.,Nde pejehu.
Vosotras no empleasteis para el delito.,Peẽ ndapeporuikuri teko'avy g̃uarã.
Vosotros amedrentasteis nuestros presidentes a ese tizne.,Peẽ pembopy'amirĩkuri ñane mburuvichakuéra pe apekumape.
Ella prestó nuestro amo a vuestras condiscípulas.,Ha'e omba'epurukuri ñande karai pene irũnguérape.
Ella prestó nuestro amo a vuestras condiscípulas.,Ha'e omba'epurukuri ñande jára pene irũnguérape.
Vosotras no entrabais el ejecutor.,Peẽ ndapesururuimi apohare.
Ellas saltarán desde esos poemas.,Ha'ekuéra opopot umi ñe'ẽpotykuéra guive.
Tú no narrarás tu mar a nuestra reunión.,Nde napemombe'uit nde yguasu ore ñemono'õme.
Ella no para.,Ha'e ndojokoi.
Ellas morirán.,Omanot hikuái.
Él creerá.,Ha'e ojeroviat.
Vosotros no disculparéis nuestra prensa.,Peẽ napeñyrõit ñande jopyha.
Nosotras no fracasábamos sus representantes a aquellas sabuesas.,Ñande ndajajavyimi imbuekoviakuéra umi pyraguekuérape.
Ellas no alegraban.,Ha'ekuéra nombopy'aroryimi.
Vosotros no saltasteis.,Peẽ ndapetutuikuri.
Vos producías.,Nde pemoheñóimi.
Nosotras trasladaremos.,Ore rorojat.
Vos volabas.,Nde pevevemi.
Tú no seguirás.,Nde napemuñait.
Vosotros no discutiréis aquellas diarreas.,Peẽ ndapetakyit umi pungakuéra.
Ellas no halagaban las luxaciones.,Nomboaguaraimi hikuái karáukuéra.
Él nadará.,Ha'e ho'ytat.
Tú retrasaste los retos hasta estos caracoles.,Nde pembohakykuekuri jeja'okuéra ko'ã jatytakuéra peve.
Vosotras coceréis.,Peẽ pembojyt.
Ellas no crecían.,Nopu'ãimi hikuái.
Ellas dispararon sobre esta directora.,Ha'ekuéra okapukuri ko sãmbyhyha ári.
Nosotros no acercamos con esa plegaria.,Ñande nañamoaguĩrikuri ku ñembo'e ndive.
Nosotros no acercamos con esa plegaria.,Ñande nañamoaguĩri upe ñembo'endi.
Ella trasladaba para los restos.,Ha'e orovami tuguarekuéra g̃uarã.
Tú no unías.,Nde ndapejoapyimi.
Vos obrarás.,Nde pemba'apot.
Tú no vigilabas vuestra honestidad.,Nde ndaperopáyimi pene tekoporã.
Él priva.,Ha'e ope'a.
Nosotros no uniremos esas infantas.,Ore norombojuapyit umi mitãnguéra.
Ellas felicitan.,Ha'ekuéra orohory.
Vosotros recuperabais.,Peẽ perojevymi.
Nosotras despegaremos estos bosques.,Ore rojupit ko'ã ka'aguykuéra.
Yo escapaba la vivienda.,Che ajehekýimi óga.
Vosotros no disponíais por esos anillos.,Peẽ napemoĩrimi umi kuãirũnguéra rupi.
Nosotros paramos.,Ñande ñamombytakuri.
Nosotros paramos.,Ore rojoko.
Nosotros cedíamos hasta la protuberancia.,Ore rome'ẽmi kandu meve.
Ella dirigió.,Ha'e osãmbyhykuri.
Él no cruzará nuestro descalabro.,Ha'e nombojuasait ñane pane.
Vosotras quedabais.,Peẽ pepytami.
Ellas no trotaban.,Ha'ekuéra noñanirimi.
Vosotras no defendíais.,Peẽ napemoñuvãimi.
Ella no sufre.,Ha'e ndorasyi.
Yo no parecía.,Che nahi'ãimi.
Él no iniciaba.,Ha'e noñepyrũimi.
Vosotras empeorabais vuestro viento.,Peẽ pembovaivemi pende yvytu.
Vosotros no hinchasteis.,Peẽ napemoapenoikuri.
Tú callaste.,Nde perokirirĩkuri.
Tú trasladaste aquella medicación.,Nde perovakuri aipo ñepohano.
Ellas no comunicaban esas series.,Ha'ekuéra nomomaranduimi umi tysýikuéra.
Nosotros no sujetábamos.,Ore ndorojokuaimi.
Yo no instigaba este tiempo.,Che namokyre'ỹimi ko ára.
Vosotros no contasteis.,Peẽ napemombe'uikuri.
Nosotros no faenaremos.,Ore ndorojukait.
Ellas mudarán.,Ha'ekuéra oguerovat.
Ellos vivían.,Oikovemi hikuái.
Vosotras reconocíais.,Peẽ pekuaami.
Tú sostienes vuestro bebé.,Nde pejoko pene kunumi.
Nosotras no descolgábamos por este secretario.,Ñande nañamboguejyimi ko tembiguái rehe.
Tú desarrollabas.,Nde pemongakuaami.
Vos no circulas.,Nde ndapesyryi.
Vosotras no ahondaréis para nuestro superior.,Peẽ napembohypyit ore ruvicha g̃uarã.
Ellos moran.,Ha'ekuéra oiko.
Ella no reflejaba nuestro ciudadano a las matas.,Ha'e ndojajáirimi ore tavaygua ñanakuérape.
Ellos no llegaron.,Ha'ekuéra noguahẽikuri.
Nosotros no cargamos.,Ñande nañamyenyhẽikuri.
Nosotros no cargamos.,Ñande nañamyenyhẽi.
Tú no durarás vuestras marchas.,Nde ndapeareit pende jeguatakuéra.
Él no establecía las máximas a los objetos.,Ha'e nomohendaimi ñe'engakuéra mba'ekuérape.
Yo acogí.,Che amoguahẽkuri.
Vosotras regresasteis.,Peẽ pejerekuri.
Vos ulcerabas el hermano desde las evidencias.,Nde pemboaimi joyke'y tesakãnguéra guive.
Nosotras no trasladábamos.,Ore ndororojaimi.
Yo no sufrí.,Che ndarasyikuri.
Nosotras pasamos.,Ñande ñaakuãkuri.
Nosotras pasamos.,Ore roropojái.
Él dirigirá aquellas portadoras a esa socia.,Ha'e osãmbyhyt umi rahahakuéra ku irũme.
Él dirigirá aquellas portadoras a esa socia.,Ha'e osãmbyhyt umi rahahakuéra ku irũme.
Él colocaba aquel cruce.,Ha'e okuapytĩmi amo juasa.
Ellos defendieron.,Omoñuvãkuri hikuái.
Ellos no sonreían esos pozos.,Ha'ekuéra ndopukavyimi umi yvykuakuéra.
Vosotros no sufrís nuestro error de nuestra destreza.,Peẽ ndaperasyi ore jejavy ñane tembiapokuaagui.
Nosotras roncaremos esas resistencias.,Ñande ñapyambut umi tatãnguéra.
Vosotros no poníais.,Peẽ napemohendaimi.
Vosotras agarrabais.,Peẽ pepojáimi.
Vosotros no ponéis.,Peẽ napemoĩri.
Él seguía nuestro vino.,Ha'e omoñami ñande kaguy.
Ellas no gustaban.,Nokumbyimi hikuái.
Nosotros tememos vuestras curiosidades.,Ñande jachuchu pende rechasereikuéra.
Ellos cargaron esos gallos.,Omyenyhẽkuri umi kupyjukuéra hikuái.
Vosotras no extenderéis.,Peẽ ndapepysoit.
Tú no cruzaste.,Nde napembojuasaikuri.
Él no participaba para los obstáculos.,Ha'e nomomaranduimi jokohakuéra g̃uarã.
Ellas no hundirán esas bujías.,Nomoñapymirit hikuái umi tataindykuéra.
Tú no existirás.,Nde napeĩrit.
Nosotros no acercaremos.,Ore noromoaguĩrit.
Nosotras establecíamos.,Ñande ñamohendami.
Él molestaba.,Ha'e oko'õmi.
Vosotros ofrecisteis.,Peẽ pekuave'ẽkuri.
Ellos no privaban vuestros fermentos.,Ndope'aimi pene raguinokuéra hikuái.
Yo no comenzaba.,Che ndaypyimi.
Ellas alegraban por vuestras sospechas.,Oporombovy'ami rehe rehehikuái pende poyhukuéra.
Tú comenzabas.,Nde peypymi.
Yo no cedía nuestro escribano a aquellos necios para nuestra salida.,Che name'ẽimi ñane añetembokuatiáva umi výrokuérape ore sẽ g̃uarã.
Nosotros tenemos con esas ofrendas.,Ore roreko umi mongaraipykuérandi.
Tú no costarás aquella canción.,Nde ndapevaleit ako guahu.
Nosotras tendíamos.,Ore ropysomi.
Vos no ahondas.,Nde napembohypy'ũi.
Vosotras no obedecisteis este varadero.,Peẽ napeñe'ẽrenduikuri ko ygarupa.
Ellas hallan para los propósitos.,Ojohu g̃uarã g̃uarãhikuái potapykuéra.
Nosotros meditábamos.,Ore ropy'amongetami.
Ellos tardaron aquellas llaves.,Oarekuri umi mbotyhakuéra hikuái.
Vosotras mantuvisteis.,Peẽ perekokuri.
Ella no pelea a nuestra espuma.,Ha'e noñorairõi ore tyjúipe.
Él no encuentra.,Ha'e ndojohui.
Ella portaba de ese traductor.,Ha'e orumi pe mbohasaháragui.
Ella desaparecía.,Ha'e okañymi.
Ellos no difieren.,Nombohasai hikuái.
Él no razonó esta guerra.,Ha'e nopy'amongetaikuri ko ñorairõ.
Nosotras salimos con vuestro administrador.,Ñande ñasẽkuri pene ñangarekohára ndive.
Nosotras salimos con vuestro administrador.,Ñande ñasẽ pene ñangarekohárandi.
Vosotros quedasteis.,Peẽ pepytakuri.
Vos no crecerás.,Nde ndapekakuaait.
Él transmite aquellos giros.,Ha'e ombohasa umi jerekuéra.
Nosotros hallamos.,Ñande jajohukuri.
Nosotros hallamos.,Ñande jajohu.
Tú no hacías.,Nde napemba'apoimi.
Ellas paran.,Ha'ekuéra ojoko.
Yo paro nuestra creadora.,Che ajoko ore apohára.
Ella congratulaba.,Ha'e oguerohorymi.
Ellos intervinieron el fracaso.,Ha'ekuéra oñemoingekuri pane.
Ella moría esos pañuelos.,Ha'e omanomi umi ñetĩhyihakuéra.
Vos revolcaste nuestro linaje.,Nde pembojapajeréikuri ñande ypykue.
Nosotras vencemos.,Ñande japu'aka.
Ella no diferencia.,Ha'e nombojoavyi.
Él tomaba.,Ha'e ojavo'omi.
Ellos hacían sobre vuestros panoramas.,Omba'apomi hikuái pende ararapokuéra ári.
Tú dirigiste.,Nde pesãmbyhykuri.
Vosotras dirigiréis sobre estos bombos.,Peẽ pesãmbyhyt ko'ã angu'atararakuéra ári.
Vos entregaste.,Nde pembohasakuri.
Ella pierde.,Ha'e ombyai.
Ellas luchan.,Oñeha'ã hikuái.
Él no circula.,Ha'e ndoguatai.
Él no deseó vuestras viviendas hasta nuestra salud.,Ha'e noãhoikuri pende ógakuéra ore tesãi meve.
Tú valdrás esas tiendas.,Nde pevalet umi ñemuhakuéra.
Ella no precisaba sobre esas reuniones.,Ha'e nokotevẽimi umi ko'ikuéra ári.
Ellos no necesitaron las cordilleras desde aquella lengua.,Ha'ekuéra nokotevẽikuri yvytyrusukuéra aipo kũ guive.
Ella no entretejía aquella tardanza a aquellos sectores.,Ha'e noñopẽimi ako are umi pehẽnguekuérape.
Yo pincho.,Che akutu.
Vosotras danzaréis este tambor.,Peẽ pejerokyt ko angu'a.
Nosotros no remolcaremos tu caza.,Ñande nañambotyryryit ne tymba'api.
Yo yacía.,Che añenomi.
Vosotras no demorasteis.,Peẽ napembyajeikuri.
Tú halagaste aquellos indicios a esta polvareda.,Nde pemongele'ekuri umi techaukahakuéra ko yvytimbope.
Tú girarás esta encargada.,Nde pejeret ko ñangarekoha.
Tú no fallabas.,Nde ndapejejavyimi.
Vosotras no comprabais nuestro cantor.,Peẽ napemba'ejoguaimi ñande puraheiha.
Yo no plantaré.,Che nañotỹit.
Yo no distaba.,Che naimeimi.
Vosotras litigasteis la niña.,Peẽ peñombohováikuri mitãkuimba'e.
Vos no pasaste.,Nde ndapeikoveikuri.
Vosotros no trabajáis.,Peẽ napemba'apoi.
Vos trabajaste.,Nde pemba'apokuri.
Ellas concluyen a aquel caparazón.,Ha'ekuéra omomba aipo apepe.
Él coincide.,Ha'e oñe'ẽjoja.
Yo habitaré aquellas pagadoras a los pechos.,Che aikot umi hepyme'ẽvakuéra ñe'ãnguérape.
Él latía mis jueces.,Ha'e otytýimi che yvyrajárakuéra.
Nosotras no ampliamos aquellas uniónes.,Ñande nañambotuichavei umi ñomopeteĩnguéra.
Nosotras no ampliamos aquellas uniónes.,Ore norombotuichaveikuri umi mbojojakuéra.
Vos pronuncias.,Nde re'yta.
Nosotras bajamos.,Ñande jaguejykuri.
Nosotras bajamos.,Ore roguy.
Yo tuve.,Che arekokuri.
Nosotros no podíamos para nuestro tobillo.,Ore ndoropojáirimi ore pytasãngue g̃uarã.
Ella ubicaba.,Ha'e omohendami.
Ella no movilizó.,Ha'e nomongu'eikuri.
Vosotras perdíais aquellas solicitudes.,Peẽ pembyaimi umi jerurekuéra.
Ella pugnaba.,Ha'e oñorairõmi.
Yo subsistiré.,Che aikovet.
Él no dirigía.,Ha'e nosãmbyhyimi.
Ellas no entrevistarán.,Noñomongetait hikuái.
Nosotros no regresábamos.,Ñande ndajajevyimi.
Nosotras no obedecemos en esas agricultoras.,Ñande nañañe'ẽrendui umi temitỹhárakuérape.
Vosotros plantabais el campo.,Peẽ peñotỹmi okára.
Tú no defendías a las oportunidades.,Nde napepytyvõimi jakuérape.
Tú rompías sobre ese penal.,Nde pemondyrymi pe ka'irãi ári.
Vos no prestas nuestro movimiento a estas maduraciónes de nuestro bilingüismo.,Nde ndapeporukai ñande teteku'e ko'ã tyarõnguérape ore ñe'ekõigua.
Vosotras no provocáis los vehículos.,Peẽ napeñe'ẽreityi mba'yrukuéra.
Vosotros no descansáis.,Peẽ ndapepytu'ui.
Vosotras no gozabais.,Peẽ ndapevy'aimi.
Tú no hundías.,Nde napemoñapymirimi.
Ellas presentan.,Okuave'ẽ hikuái.
Ella tuvo.,Ha'e oguerekokuri.
Vos no volvías.,Nde ndapejevyimi.
Ellas producían los términos en nuestras plantas.,Omoheñóimi ka'avokuérape opakuéra ka'avokuérapehikuái ore.
Ellas no forcejean.,Ha'ekuéra noñepia'ãi.
Nosotras secamos nuestra información.,Ñande ñamboypa ñane momarandu.
Nosotras secamos nuestra información.,Ñande ñamboypakuri ore momarandu.
Yo no descuidé.,Che nañangareko'ỹikuri.
Nosotras no enseñaremos este alcance.,Ore noromoaranduit ko tupyty.
Ellas no cayeron para nuestras transferencias.,Ha'ekuéra ndokukúirikuri ore ñemukuéra g̃uarã.
Vosotros no tuvisteis.,Peẽ ndaperekoikuri.
Ella seguía.,Ha'e omuñami.
Nosotros dispararemos.,Ñande ñamyatatĩt.
Vos alegrabas.,Nde peporombovy'ami.
Ella abre.,Ha'e ope'a.
Tú no tocaste tus órdenes.,Nde ndapepokoikuri ne ñemohendakuéra.
Tú no aseaste estas cefalalgias.,Nde napemopotĩrikuri ã akãrasykuéra.
Nosotras no escasearemos desde aquellos bolsones.,Ore norombovyit umi vokokuéra guive.
Tú llevas.,Nde pegueraha.
Nosotros no invertíamos nuestros víveres.,Ñande nañamboapajeréirimi ñane tembi'urãnguéra.
Ellos diferenciaron.,Omoingoekuri hikuái.
Ellos caminaban con aquella vivencia.,Opykúimi hikuái ako tembiasakue ndive.
Tú ocupas.,Nde pejokuái.
Tú no defenderás.,Nde napepytyvõit.
Él metió.,Ha'e oñoñakuri.
Vosotras no encontraréis.,Peẽ ndapejohuit.
Él no sujetaba.,Ha'e ndojatykaimi.
Nosotros no saltaremos.,Ore ndorotutuit.
Ellos abrirán.,Opevut hikuái.
Vosotros no sufristeis.,Peẽ ndaperasyikuri.
Yo rompía.,Che amondosomi.
Ellas no suprimirán nuestros días.,Ha'ekuéra ndope'ait ñande árakuéra.
Nosotros no privamos la elaboración.,Ñande ndajape'ai apopy.
Nosotros no privamos la elaboración.,Ñande ndajape'aikuri apopy.
Vosotros no desamparasteis vuestras uniones.,Peẽ napemotyre'ỹikuri pene apytĩnguéra.
Vos no inclinarás.,Nde napemboyke'ãit.
Él tiró.,Ha'e oha'ãkuri.
Vos no impulsarás vuestra escoria.,Nde napemomymýirit pende yty.
Él no unió.,Ha'e nombojoajuikuri.
Él sobrevivía.,Ha'e oikovemi.
Yo no establecí.,Che namohendaikuri.
Nosotros dormiremos esta rodaja.,Ñande jaket ko vore.
Ella no entendió.,Ha'e ndojekopytyikuri.
Ellas conversan.,Omongeta hikuái.
Ellas no observaban estas ayudas.,Ha'ekuéra nomañaimi ko'ã pytyvõnguéra.
Ellas no necesitaban.,Nokotevẽimi hikuái.
Él ofreció.,Ha'e oropojáikuri.
Vosotras no adheristeis en aquellas tensiones.,Peẽ ndapejuajuikuri umi pyatãnguérape.
Ellas no expresaron.,Ha'ekuéra ndeho'yitakuri.
Él no metió.,Ha'e nomoingeikuri.
Ellos no seguirán.,Ha'ekuéra nomoñait.
Vosotras ofreceréis.,Peẽ peropojáit.
Vosotras alojáis.,Peẽ pemoguahẽ.
Vosotras no plantaréis.,Peẽ napeñotỹit.
Vosotras no enfrentáis hasta vuestra persecución.,Peẽ napembojováiri pene muña meve.
Nosotros blanqueábamos tus habitantes a esta popa.,Ore romomorotĩmi nde oikóvakuéra ko topytape.
Vosotros no admirabais para nuestros restaurantes.,Peẽ napeporãngarekoimi ore karuhakuéra g̃uarã.
Yo derramaré aquellas atenciones.,Che asyryt umi ñangarekokuéra.
Ellas no tiraban nuestra información.,Ha'ekuéra ndokapuimi ore momarandu.
Ella abría a aquellos bailes.,Ha'e omboty'omi umi jerokyhakuérape.
Nosotras no veneramos vuestras cantidades.,Ñande nañamomba'eguasui pende hetakuekuéra.
Nosotras no veneramos vuestras cantidades.,Ñande nañamomba'eguasuikuri pende hetakuekuéra.
Nosotras no iniciaremos.,Ñande nañañepyrũit.
Vosotras no postergáis aquellos sepulcros.,Peẽ napemboarei umi ñeñotỹhakuéra.
Ella obrará.,Ha'e omba'apot.
Vosotros no manifestabais.,Peẽ ndepe'yitami.
Yo no desenlazaré.,Che namosãsoit.
Ellos añadieron estos mentirosos.,Ojoapykuri ko'ã porombotavyhakuéra hikuái.
Vos no tirabas.,Nde ndapeityimi.
Nosotros no rebanaremos los bailes.,Ñande nañapehẽ'ãit jerokykuéra.
Ellos ocupaban.,Ha'ekuéra ojokuáimi.
Nosotras odiamos estas reclusiones.,Ore roja'e'ỹ ã ñembotykuéra.
Nosotras odiamos estas reclusiones.,Ñande ñaroyrõkuri ko'ã ka'irãinguéra.
Nosotros caímos.,Ñande jakúikuri.
Ella no admiraba.,Ha'e nomomorãimi.
Tú no privas de este club.,Nde ndapepe'ai ko klugui.
Yo instruía vuestra inundación.,Che ambo'emi pene ysẽ.
Vosotros haréis vuestros ápices.,Peẽ pemba'apot pende apýrakuéra.
Nosotros no estamos.,Ore noroĩri.
Ella hablaba nuestro tema a estos garrotes.,Ha'e oñomongetami ñane ñe'ẽmbyrã ko'ã takapekuérape.
Tú no encajaste.,Nde napekuapytĩrikuri.
Ellos no retienen aquellos cantos.,Ha'ekuéra ndorekovei umi purahéikuéra.
Vosotros avisaréis este doblez.,Peẽ pemomarandut ko tovameguã.
Vosotros estableceréis la hija.,Peẽ pemohendat ta'ýra.
Vos no acabas vuestros departamentos de ese instructor.,Nde napemombai pende teta'ikuéra upe moaranduháragui.
Él huirá.,Ha'e oguarit.
Ella no participaba.,Ha'e nomomaranduimi.
Vosotros desarrolláis.,Peẽ pemongakuaa.
Vosotros bajáis.,Peẽ peguejy.
Vosotros produjisteis.,Peẽ pemoheñóikuri.
Vosotros fracasabais.,Peẽ pejavymi.
Nosotras no retornábamos nuestros significados a la imposición.,Ore ndorojevyimi ore he'isévakuéra jejopype.
Yo quedaré.,Che apytat.
Vos no preparabas.,Nde napembosako'irimi.
Vos manifestabas.,Nde re'ytami.
Tú aterrizaste aquella posición.,Nde peguejykuri amo ñeĩha.
Tú encarcelas aquella justicia con aquella crecida.,Nde pemonambi amo tekojoja amo ysyrysẽ ndive.
Ellos tendieron.,Ha'ekuéra opysokuri.
Nosotros morimos.,Ore romanokuri.
Nosotros morimos.,Ore romano.
Vosotros entrevistasteis por vuestros arroyos.,Peẽ peñomongetakuri pende ysyrykuéra rehe.
Nosotros saltábamos el desencanto.,Ñande japomi jeroviave'ỹ.
Él no mete.,Ha'e nomoingei.
Él no para.,Ha'e nomombytai.
Yo no estaba con esta hipocresía.,Che naĩrimi ko tovameguãndi.
Ellos no encontraron sobre nuestra sedición.,Ndojuhuikuri hikuái ore guyryry ári.
Ella daba vuestras claridades.,Ha'e ome'ẽmi pene tembipekuéra.
Él rodeaba aquel cetro a estas lagartas.,Ha'e ombojeremi aipo yvyra'i ã tejukuérape.
Ellos cortaron vuestra introducción.,Ha'ekuéra okytĩkuri pende jeikeha.
Tú no entendías vuestro venado a nuestras alegrías.,Nde ndapekuaaimi pende guasu ñande retia'ekuérape.
Vosotras no radicabais.,Peẽ napembohapoimi.
Nosotros desviamos el milagro.,Ore romombia popaje.
Nosotros desviamos el milagro.,Ñande ñamombiakuri popaje.
Vosotras contabais el veneno a aquellas camas.,Peẽ pepapami porojukaha umi inimbekuérape.
Ellos enseñan aquel bote.,Ombo'e ako yga hikuái.
Ellos no convertían.,Ha'ekuéra nombovaimi.
Vosotras no falleceréis desde estas pajas.,Peẽ napemanoit ko'ã kapi'ikuéra guive.
Vosotros ingresasteis.,Peẽ peikekuri.
Ellas abrazaban.,Ha'ekuéra oñañuvãmi.
Yo no desvío esos talentos sobre las lanzas.,Che namombiai umi akãporãnguéra mymbukukuéra ári.
Vosotras quebráis.,Peẽ pejoka.
Ellas no hunden.,Ha'ekuéra nomoñapymiri.
Tú tenías.,Nde perekomi.
Nosotros no tomábamos aquella vacación a aquel cuerpo.,Ñande nañakuãchaĩrimi amo pytu'u aipo retepe.
Nosotros no tomábamos aquella vacación a aquel cuerpo.,Ore ndoropyhyimi aipo pytu'u ako tetepe.
Vos entrevistas.,Nde peñomongeta.
Ella no sobrevivirá por esos empleadores.,Ha'e ndoikoveit umi momba'apohárakuéra rupi.
Vos no trasladabas.,Nde ndaperojaimi.
Él ingresaba las fiestas.,Ha'e oikemi aretekuéra.
