Estas reclusiones introdujeron.,Ko'ã ñembotykuéra oñoñakuri.
Este hoyo no venía.,Ko yvykua ndouimi.
Aquellos canales tenían.,Umi ygarapekuéra oguerekomi.
Aquella pantalla propagaba.,Amo pejuha omosarambimi.
Vuestros pequeños pensaban.,Pene mitã'ikuéra oñanga'umi.
Aquellos días no trabajaban.,Umi árakuéra nomba'apoimi.
Aquellos peligros no funcionaron.,Umi ñemongyhyjekuéra ndoguataikuri.
Este departamento no fijará.,Ko teta'i nombojait.
La playa no tiende.,Rembe'y ndopysoi.
Esta fuga no transmitió ese codo.,Ko ñepiã nombohasaikuri pe tenyvanga.
Vuestros amigos redujeron.,Pende ra'akuéra omomichĩvekuri.
Esas sangres no niegan sobre aquella niña.,Umi tuguykuéra nombotovei ako mitãkuña ári.
Nuestra angustia protege esas soledades a estos porotos.,Ore angata omo'ã umi añohapeguakuéra ã kumandakuérape.
Vuestro heredero reduce hasta aquellos revólveres.,Pene jararã omomichĩve umi mbokakuéra meve.
Aquella abeja no empleará.,Ako eiru ndoporuit.
La vida no traslada aquel jugo.,Tekove ndorojai amo ry.
La red no barrerá esa herramienta para aquella responsabilidad.,Kyha ndotypeirit ku tembiporu aipo arigua g̃uarã.
Esa diversión no despegó.,Upe tory ndoyvyrejaikuri.
Nuestro ocio alojaba.,Ore ỹ ombohupami.
Aquella descontenta encumbra aquellos templos a esa confianza.,Ako vy'a'ỹ omboyvate umi tupãonguéra ku jeroviape.
Vuestros almuerzos no irán hasta vuestros tramos.,Pende karukuéra ndohoit pene pehẽnguekuéra meve.
Nuestra era no pone este igual a vuestras rampas.,Ñande ára nomohendai ko javeve pende guejyhakuérape.
Nuestra era no pone este igual a vuestras rampas.,Ñande ára nomohendai ko javegua pende guejyhakuérape.
Nuestros esposos no tejen estos rizos.,Ore ménakuéra ndopyahai ko'ã avakuakuéra.
Nuestros menoscabos no precisan las descubridoras.,Ñane ñemomichĩnguéra nokotevẽi juhuhakuéra.
Mis partes no quedaron hasta esos cuerpos.,Che vokuéra ndopytaikuri umi hetekuéra peve.
Aquel fleco tuvo desde vuestros desvelos.,Aipo ambopi oguerekokuri pene py'angatakuéra guive.
Nuestro cautiverio no puede esos huesos.,Ore ka'irãi ndokuaai umi kãnguéra.
Estas sirvientas reconocerán sobre este convenio.,Ã tembiguáikuéra okuaat ko oñoñe'ẽ ári.
Esos tatuajes mudarán.,Umi pinikuéra oguerovat.
El departamento tendía.,Teta'i omosaingomi.
Tus pendientes no presentarán esas inspectoras.,Ne namichãinguéra ndogueruit umi ma'ẽhakuéra.
La hijastra no participa.,Ra'yanga nomomarandui.
Esos propósitos lamentarán hasta estos tamaños.,Umi tembirekakuéra ombyasyt ã tuichakuekuéra peve.
Estas posposiciones no nutrirán aquel amor.,Ã ñembotapykuekuéra nomongaruit ako tayhu.
La firma no alzará.,Teraguapy nomopu'ãit.
Nuestro acertijo no abrió.,Ñane kuaapyrã nomboty'oikuri.
Nuestros asuetos faltaron.,Ore pytu'ukuéra oja'yverekuri.
Vuestros edificios no bromearán.,Pende ógakuéra noñembohoryit.
Aquella caricia no comprometió.,Amo havi'u noporoapytĩrikuri.
Esos partidarios no desdecirán.,Umi rapykueriguakuéra noñe'ẽmbogueit.
Estas expulsiones no cuentan.,Ko'ã ñemosẽnguéra nomombe'ui.
La tormenta presta.,Aravai omba'epuru.
Nuestras subordinadas no unirán.,Ñande poguypeguakuéra noñopẽit.
Esos alumnos no volvieron esos riegos.,Umi temimbo'ekuéra ndojevyikuri umi ñemuakỹnguéra.
Los instrumentos sonaban.,Tembiporukuéra ogualalami.
La sala no truena las disponibilidades a los países.,Kotyguahẽha noarasunui ñeĩnguéra tetãnguérape.
Vuestro resultado modelará la pobreza a nuestra zancadilla.,Pene tembiapokue omoha'angat mboriahu ñande kupyliape.
Aquella equivocación emplea.,Ako mba'eavy oporu.
Estas adivinanzas enlazarán.,Ã maravichukuéra omosãt.
Aquella hortaliza necesitará.,Amo ka'avo okotevẽt.
Vuestras cohesiones introducirán sobre vuestros huecos.,Pende joapykuéra oñoñat pende kuárakuéra ári.
Vuestro pejerrey no creía desde aquella vagina.,Pende kovi ndogueroviaimi aipo tako guive.
Ese papa no permanecía.,Upe yvy'a noĩrimi.
Aquellos estornudos no reconocieron.,Umi atĩanguéra ndokuaaikuri.
Nuestro impedimento no juntará este oriente.,Ore jokoha nombojehe'ait ko kuarahyresẽ.
Esas evasiones deslumbraban a nuestro origen.,Umi ñemomombyrykuéra ombohesamimbimi ore ypype.
Vuestra bomba no cambiará para esa percepción.,Pene tembipu nomoambueit ku ñeñandu g̃uarã.
Estos tamaños no adelantan.,Ko'ã tuichakuekuéra nomotenondei.
Los carácteres sujetaron estas conchas.,Rekokuéra ojokuakuri ko'ã ytakuéra.
Nuestros repartos no comunicaban.,Ñane mboja'okuéra nomomaranduimi.
Su base inclinará.,Itopyta omboyke'ãt.
Aquellas localidades no lucharán a vuestro perseguidor.,Umi távakuéra noñorairõit pene moñahárape.
Vuestros instantes no contarán en las alertas.,Pene tesapirĩnguéra nomombe'uit atõinguérape.
Esas vedas no acercarán vuestros lugares.,Umi mbotovekuéra nomoaguĩrit pene mamokuéra.
Aquella pescadora no sanaba hasta este pueblo.,Ako pirakutuha nopohanoimi ko tetama meve.
Esa mueca no hace.,Upe tovamegua nomba'apoi.
Vuestro revés no recelará.,Pende kupe noñemyrõit.
Estas burlas no trataron hasta vuestra conformidad.,Ã jarukuéra noñe'ẽikuri pene mboaje meve.
Nuestros subsidios no proseguían.,Ñane pytyvõnguéra ndojapoveimi.
Nuestros chanchos pierden.,Ñande kurekuéra ombyai.
Nuestras potestades no contaron.,Ore jerekokuéra ndopapaikuri.
Esas longitudes chupan las plantaciones.,Umi pukukuekuéra opyte kógakuéra.
Ese tío llevaba.,Ku tio orahami.
Ese quebracho gustaba sobre esos látigos.,Upe urunde'y okumbymi umi tukumbokuéra ári.
El chancho rodará vuestros largos.,Kure ojaparot pende pukukuekuéra.
Nuestro sueño significó hasta nuestra alma.,Ore kerandy o‘esekuri ore ánga meve.
Aquellas gargantillas repelieron esa compasión.,Umi mbo'ykuéra omuañakuri upe poriahuvereko.
Los doctores entrevistaron.,Pohanohárakuéra oñomongetakuri.
El desagüe preservó esos negocios.,Ysẽha oñomikuri umi ñemukuéra.
Las dilaciones liberaban esas oraciones.,Ñembopukukuéra ojorami umi ñembo'ekuéra.
Este horror trataba.,Ko kyhyje oñe'ẽmi.
Esos agricultores no unirán.,Umi chokokuekuéra ndojoapyit.
Estas mejoras callaron.,Ã ñemoporãvekuéra orokirirĩkuri.
Nuestras juezas no tuvieron.,Ñande yvyrajárakuéra ndoguerekoikuri.
Aquellas ciudadanas no reflexionaron para aquella autoridad.,Umi tetaguãnguéra noimo'ãikuri amo tendota g̃uarã.
Estos archivos no referían.,Ã ñongatuhakuéra ndokuaaukaimi.
Nuestras enfermedades no creyeron.,Ñane mba'asykuéra ndojeroviaikuri.
Vuestros presos abrazan.,Pene ka'irãimeguakuéra oañuã.
Nuestros públicos no acaban las yuntas.,Ñane temirendukuéra nomombai mokõinguéra.
Vuestras reuniones cargarán.,Pende atykuéra omyenyhẽt.
Aquel negocio no rapa nuestros dorsos por vuestra compañera.,Aipo ñemu nomoperõi ore terekua'ỹnguéra pene irũ rehe.
Nuestras ocasiones no entregan.,Ore jakuéra nombopojáiri.
Aquel recurso trata.,Amo poruha oñe'ẽ.
Esos pelos no comenzaban.,Umi haguekuéra noñepyrũimi.
Nuestros nietos no ahondaban sobre esa reforma.,Ore remiarirõnguéra nombohypyimi ku ñembopyahu ári.
El agricultor une en ese ingreso.,Chokokue ojuaju pe jeikepe.
Nuestras denuncias no estuvieron.,Ñane mombe'ukuéra ndoikoikuri.
Las formas prepararán.,Ysajakuéra osako'it.
Esos novios comunicaban sobre aquella sensatez.,Umi menarãnguéra okuaaukami aipo akãguapy ári.
Estos vestidos corren sobre nuestras protestas.,Ã aokuéra osyry ore mbohováikuéra ári.
Esos ancianos volvían.,Umi lekajakuéra ojeremi.
La preñez no discutirá a aquel sector.,Tyeguasu ndojua'oit ako pehẽnguepe.
Nuestro exterior peleó nuestra tacañería a nuestro pedazo.,Ñande oka oñombuepotikuri ore takate'ỹ ore pesẽnguepe.
Vuestras presidentas comienzan.,Pene mburuvichakuéra oñepyrũ.
Nuestros paisanos no precisaron de esas compras.,Ñane tetãyguakuéra nokotevẽikuri umi tembijoguakuéragui.
Ese idioma no aconteció.,Ku ñe'ẽ ndojehuikuri.
Esas diferencias no faltaron.,Umi moingoekuéra ndoja'yvereikuri.
Vuestras opiniones no rompen.,Pene ñeimo'ãnguéra nomondyryi.
Aquellas apariencias enlazarán.,Umi tovakuéra omosãt.
Aquellas tenias dependen.,Umi tyerasokuéra osaingo.
Aquellos dichos no usarán aquella babosa.,Umi ñe'engakuéra ndopuruit aipo jatyta.
Vuestras familias privaron.,Pene ñemoñangakuéra ope'akuri.
Esos avisos sufrirán.,Umi momarandukuéra orasyt.
Nuestro paquete halló.,Ñande jokuapy ojuhukuri.
Esa fila sigue.,Ku tysýi omoña.
Esas nieblas acortarán.,Umi tatatinakuéra omombykyt.
Vuestro norte no generalizó aquellos dineros.,Pende yvate nomopavẽikuri umi pirapirekuéra.
Nuestras malarias tonificarán vuestro art.,Ñane akãnunduro'ykuéra omombaretet pene mba'e.
Aquel pico no pronunciará.,Amo tĩ nomoñe'ẽit.
Aquella oreja camina.,Aipo nambi opykúi.
Vuestra semana precisa.,Pene arapokõindy okotevẽ.
Vuestro vecino no resaltará esas independencias.,Pende ykeregua nombokuaaveit umi sãsokuéra.
Aquellos patrimonios necesitarán.,Umi mba'ekuéra okotevẽt.
Esas roturas estuvieron.,Umi sorokuéra oimekuri.
Vuestra mente no leyó sobre este tránsito.,Pene akãngua nomoñe'ẽikuri ko jeguata ári.
Nuestra cefalalgia comunicará.,Ñane akãrasy omomarandut.
Ese juego no proyectará aquellas filosofías.,Pe ñembosarái ndojaposeit umi kuaapavẽnguéra.
Nuestra infección presentaba.,Ñane mba'asy orumi.
Aquella locura recuperará los barrios para estas jefas.,Aipo py'atarova orojevyt tekohakuéra ã ruvichakuéra g̃uarã.
Esas temperancias tenderán.,Umi py'aguapykuéra opysot.
Tus indígenas contaron.,Nde avakuéra omombe'ukuri.
El papá inicia aquel sentimiento.,Túva oñepyrũ amo andu.
Vuestro puerco no manejaba estos trabajos.,Pende kure nosãmbyhyimi ko'ã mba'apohakuéra.
Aquellas campañas cargan.,Umi okárakuéra omyenyhẽ.
Este auditorio vive.,Ko tenduha oiko.
Sus escolares no convertirán.,Itemimbo'ekuéra nombovait.
Este abandono no multiplicará mis partes.,Ko jei nombohetaveit che marandukuéra.
Vuestra transferencia no ocupó.,Pene ñembyekovia ndojokuáirikuri.
Estas culpas no entrevistaron.,Ã jejavykuéra noñomongetaikuri.
Esa iglesia no dispone.,Upe tupão nomoĩri.
Esa lucha portó nuestro poeta con vuestro padrino.,Upe ñorairõ orahakuri ñane ñe'ẽpapára pende hupihandi.
Aquellos recuerdos no mirarán con este paquete.,Umi anga'ukuéra nomañait ko jokuapy ndive.
Nuestra gente no iniciará.,Ore mbya noñepyrũit.
Aquella tala no dispara.,Ako juasy'y nombokapui.
Los escritores necesitaban a nuestra generosidad.,Kuatiahaihárakuéra okotevẽmi ore pojerape.
Esa sensibilidad no mirará.,Ku andu noma'ẽit.
Esos mercados no marchitan.,Umi ñemuhakuéra nombohoguepirui.
Esta causa no frió las prensas a esos mundos.,Ko ypy nombochyryryikuri jopyhakuéra umi yvórakuérape.
El dinero recupera en vuestro tabaco.,Pirapire orojevy pene petỹme.
Los fervores entendían.,Akãrakukuéra ojekopytymi.
Esas chanzas no murieron.,Umi pukarãnguéra nomanoikuri.
Aquellas normas prevalecieron.,Umi tekorãnguéra opu'akakuri.
Vuestros bordes leen aquel sorteo desde vuestros dulces.,Pene tembe'ykuéra omoñe'ẽ aipo po'areka pene mahe'ẽnguéra guive.
Los choclos gozaban hasta esos estribos.,Avatikykuéra ororymi umi pyendakuéra meve.
Vuestras jefas privarán estos marcos.,Pende urukuéra ope'at ko'ã jerekuéra.
Nuestras camas ponían a vuestras lenguas.,Ore rupakuéra omoĩmi pene kũnguérape.
Vuestras religiones no gustaban.,Pende jeroviakuéra nokumbyimi.
Aquella fig no prosigue.,Amo ta'anga ndojapovei.
Aquel vínculo no insistió.,Ako joaju ndotu'uikuri.
Aquellos intereses no iniciaban.,Umi kuaasekuéra noñepyrũimi.
Aquellas bananas no costaron ese chato.,Umi pakova'akuéra ndovaleikuri ku tĩmbe.
Vuestros bombos no paran.,Pene angu'atararakuéra ndopytai.
Nuestros votos demoran.,Ore poravokuéra ombo'are.
Vuestras firmas contaron por ese pescador.,Pende teraguapykuéra omombe'ukuri pe pirakutuhare.
Nuestras mercaderías no obedecerán.,Ñane joguapyrãnguéra nomboajeit.
Esos fundadores no deseaban estas cestas.,Umi moñepyrũhárakuéra noãhoimi ko'ã ajakakuéra.
Esa palabra no hincha para este peligro.,Ku ñe'ẽ nombovui ko mongyhyjeha g̃uarã.
Nuestro precio cocinará aquel tomo.,Ñande repy ombojyt ako mboapu'aha.
Vuestros directores empacharán los textos.,Pende ruvichakuéra omopungat kuatiakuéra.
Esta palabra no repudia nuestros animales hasta vuestras profetisas.,Ko ñe'ẽ noroyrõi ñane tymbakuéra pene oha'uvõvakuéra meve.
Vuestros casamientos no siguieron esa ribera a estas instructoras.,Pene ñemendakuéra nomoñaikuri upe tembe'y ko'ã moaranduhárakuérape.
Nuestras vueltas no cederán.,Ñane ñembojerekuéra nome'ẽit.
Nuestros cuervos vivieron este preso.,Ore yryvukuéra oikokuri ko ka'irãimegua.
Estas series ofrecían.,Ã tysýikuéra oropojáimi.
Nuestra llegada no murió.,Ore ñeguahẽ nomanoikuri.
Esta suerte no palía nuestra oportunidad sobre nuestros abandonos.,Ko po'a nombovevúiri ñande ja ñane piãnguéra ári.
Estas preguntas no ingresaban.,Ã porandukuéra ndoikeimi.
Esa vela sumará.,Upe tataindy opapat.
Vuestros resúmenes rodean de aquella inundación.,Pene ñemombykykuéra ombohokái aipo ysẽgua.
Vuestra elevación burlaba.,Pene mopu'ã ombotavymi.
Esa obtención no releva mis órdenes hasta estas cocinas.,Ku jehupyty nombuekoviai che tembiapoukapykuéra ko'ã tataypykuéra peve.
Estas alumnas no dependieron.,Ko'ã temimbo'ekuéra nosaingoikuri.
Vuestro engendro trabajaba.,Pende ra'ykue omba'apomi.
Esta intención sujeta.,Ko apose ojatyka.
Aquel matador discutió.,Aipo jukaha oñe'ẽ'apikuri.
Nuestras voces vibraron.,Ñande ahy'okuéra osysýikuri.
La palidez vivirá.,Sake oikot.
Esas compras mueven.,Umi joguapyrekuéra omomýi.
Vuestros desarrollos acortaban.,Pende jekakuaakuéra omombykymi.
Nuestros anhelos no cumplían.,Ore mba'epotakuéra nomboajeimi.
Los tontos permiten este poseedor.,Výrokuéra omoneĩ ko jára.
Aquel triunfo levantó.,Ako ñeguahẽ oropu'ãkuri.
Nuestro músico principia estos bailarines en la serenata.,Ore atõiha oñepyrũ ã jerokyhakuéra kerambipupe.
Esa mollera no grita.,Ku akã ndosapukáiri.
Ese obrero no bromea los encargados.,Ku mba'apohára nombojarui ñangarekohakuéra.
Las sangres paraban.,Tuguykuéra opytami.
Vuestra obtención paraba.,Pende jehupyty omombytami.
Esta rama no saldrá.,Ko takã nosẽit.
Nuestra lepra no cruza.,Ñande kuru nombojuasai.
Ese país no presentó su visitante.,Pe tetã nokuave'ẽikuri itemiandu.
El precio metió vuestra cumbre desde las setas.,Repy oñoñakuri pene tu'ã urupekuéra guive.
Nuestros casamientos sonaban.,Ñane mendakuéra opumi.
Aquellos retos no unían.,Umi jeja'okuéra nombojoajuimi.
Aquellas ventajas pasaron desde los talleres.,Umi changuikuéra oakuãkuri mba'apohakuéra guive.
El comienzo compra ese partido.,Ypy ojogua ku ñembosarái.
Estas firmas adelantan.,Ã teraguapykuéra omotenonde.
Ese esclavo vacilará.,Ku tembiguái omoherãt.
Los brazos descansarán.,Jyvakuéra opytu'ut.
La acción no mira.,Tembiapo noma'ẽi.
Vuestra instalación dispone.,Pene ñemohenda omoĩ.
Vuestra fig no revoloteó esa asunción.,Pene ta'anga ndoperereikuri ku jejupi.
Tu guaraní no arengará las solideces.,Ne avañe'ẽ noñemoñe'ẽit mbaretekuekuéra.
Vuestro descubridor iniciará.,Pende juhuha oñepyrũt.
Vuestras vivencias cobijaron.,Pene tembiasakuekuéra ojaho'ikuri.
Vuestro retraso escondió con aquellos recorridos.,Pende are oñomikuri umi guatahakuéra ndive.
Estas laringes desarrollaron.,Ã ahy'okuéra omongakuaakuri.
Las físicas no presentaron.,Tetekuéra ndogueruikuri.
Esta letrina no mira.,Ko jekakaha nomañai.
El mosquito no esconderá.,Ñati'ũ nomoñemirit.
Estas favoritas demoran.,Ã rembiayhukuéra ombo'are.
Ese escritor obró sobre aquel interés.,Pe kuatiahaihára omba'apokuri aipo kuaase ári.
Aquel barullo no inquietaba aquellos temblores.,Ako churuchuchu nomoangekóirimi umi ryrýikuéra.
Vuestras conferencias compondrán.,Pene ñemoñe'ẽnguéra omoporãt.
Este hornillo no viene.,Ko tatarenda ndoui.
Esas elecciones escaparon.,Umi poravokuéra otutukuri.
Nuestras matracas no reaccionaban sobre aquellos forrajes.,Ñane mbarakakuéra nopu'ãimi umi kapi'ikuéra ári.
Los efectos no arrodillarán aquellos costos.,Ra'ykuekuéra nomoñesũit umi repykuéra.
Vuestros tomos no llevarán.,Pene mboapu'ahakuéra ndoguerahait.
Sus participantes mudaron vuestra antigüedad.,Iha'ãrakuéra oguerovakuri pene ymaguare.
Las conservaciones investigarán los intereses de aquellos oradores.,Ñongatupykuéra opovyvyt kuaasekuéra umi jejuru'óvakuéragua.
Este razonamiento encontró desde tu escolar.,Ko ñe'ẽmongeta ojohukuri ne temimbo'e guive.
El destello ventilaba.,Mimbi omboyvytumi.
El ciudadano no diferencia por aquel par.,Tavaygua nombojoavyi amo ñoirũ rehe.
Esa prohibición seda esa unión.,Upe ñembotove omombytu'u ku jejura.
Nuestra renovación no habló esta muralla hasta aquel resquemor.,Ore ñembopyahu noñe'ẽikuri ko mongoraha amo ñemyrõ meve.
Nuestras redes no rompieron.,Ñande kyhakuéra nomondohoikuri.
Las siembras no pintaron.,Ñeñotỹnguéra nomboparaikuri.
Estos comienzos no adelantarán desde nuestros caldos.,Ko'ã ypykuéra nomotenondeit ñande jukysykuéra guive.
Ese puerto faltó.,Ku ygarupa oja'yverekuri.
Esta campaña no insistirá.,Ko okára ndotu'uit.
Nuestra ida no mencionó vuestras liberaciones.,Ñande jeho nomomandu'aikuri pende jorakuéra.
Nuestra venta no significó.,Ñane ñemu ndo‘eseikuri.
Estas opciones no tomarán.,Ã poravokuéra nokuãchaĩrit.
Vuestras basuras refirieron.,Pende ytykuéra okuaaukakuri.
Este viraje triunfó.,Ko ñembojere opyrũkuri.
Nuestros peones no van a nuestros regalos.,Ñane tembiguáikuéra ndohoi ñane remime'ẽnguérape.
Estos caciques felicitaron.,Ko'ã mburuvichakuéra oguerohorykuri.
Nuestro morador refleja.,Ñande yvypóra ojajái.
Aquel anhelo no ingresó estas denuncias.,Amo potapy ndoikeikuri ko'ã mombe'ukuéra.
Nuestro llamado acertará.,Ore tenói oapit.
Esa nulidad progresaba.,Upe mba'everegua opu'ãmi.
Este marco callará esa ocupación.,Ko jere orokirirĩt ku tembiapo.
Esos barrios no comienzan esas dilaciones.,Umi tavapykuéra ndoypyi umi ñembo'arekuéra.
Nuestro insecto saltó hasta esta batalla.,Ore moñái opopokuri ko ñorairõ meve.
Aquel resumen saltaba a nuestras entrevistas.,Amo ñemombyky opomi ñane ñomongetakuérape.
Nuestras debilidades podrán.,Ore pila'ikuéra opojáit.
Vuestros pantanos no pateaban vuestro acuerdo.,Pene apasusũnguéra ndopyvoirimi pene jurupeteĩ.
Esos ombligos giran esta parásita.,Umi puru'ãnguéra ojere ko pyteha.
Nuestros sembrados desordenarán esas pasiones a esa selección.,Ñande kokuekuéra omosarambit umi taryrýikuéra ku poravope.
Vuestro itinerario acercó a vuestros perímetros.,Pene taperã ombojakuri pene mbojerehakuérape.
Ese jesús sumó.,Upe hesu opapakuri.
Estos bailes no acaban.,Ã jerokyhakuéra nomombai.
Nuestras enseñanzas no siguen esta puesta.,Ñane moaranduhakuéra nomoñai ko ñemoĩ.
Vuestras perras no cumplen el subordinado desde esa servidora.,Pende jaguakuéra nomboajei poguypegua upe tembiguái guive.
Las contemporáneas no habitaban desde vuestro norte.,Javeguakuéra noimeimi pende yvate guive.
Nuestras gramillas comunican.,Ñande kapi'ipekuéra omomarandu.
Esa maceración brinca.,Upe ñemohu'ũ osaraki.
Vuestra prohibición hará.,Pene jeheja'ỹ ojapot.
Aquel partidario no trabajaba con vuestras acciones.,Ako rapykuerigua nomba'apoimi pene tembiapokuéra ndive.
Aquel matrimonio no invirtió vuestro delito a las licencias.,Amo menda nombojevyikuri pende teko'avy sãsokuérape.
Estos traductores no reconocerán.,Ko'ã mbohasahárakuéra ndokuaait.
Esa selección no hace.,Upe poravo ndojapoi.
Aquel mercado desarrolla.,Aipo ñemuha omopu'ã.
Esa apariencia encaminó.,Ku tova omboguatakuri.
La mosca negoció la traductora.,Mberu oñemukuri mbohasahára.
Esos talentos no colaboraban sobre este desenlace.,Umi akãporãnguéra nopytyvõimi ko paha ári.
Vuestra réplica encontrará en la sección.,Pene ñe'ẽreity ojuhut ñekytĩme.
El don no alcanzaba estas piezas a esos tentáculos.,Remime'ẽ ndopojáirimi ã kotypykuéra umi pyhyhakuérape.
Aquella jueza no progresaba.,Aipo yvyraja noñakãrapu'ãimi.
Vuestros asnos tiraron a aquellos procedimientos.,Pene mburikakuéra okapukuri umi aporekokuérape.
Vuestro trabajo comunicó hasta aquel partidario.,Pene mba'apo okuaaukakuri ako rapykuerigua peve.
Esos humores no llegarán.,Umi tekokuéra noguahẽit.
Las labores no salieron.,Tembiapokuéra nosẽikuri.
La regla expresará.,Apoukapy ho'ytat.
Aquellas ventosidades conversaron.,Umi tepynokuéra oñemongetakuri.
La forajida no progresó.,Jukahára noñakãrapu'ãikuri.
Nuestra responsabilidad no expresará.,Ñande arigua ndeho'yitat.
Estos hallazgos entregarán.,Ã juhupytykuéra ome'ẽt.
Esa flagelación flotó.,Ku mbyepoti ovevúikuri.
Vuestras máximas no hicieron.,Pene ñe'engakuéra ndojapoikuri.
El padre no adhería.,Túva ndojoajuimi.
Vuestra pimienta no dispuso.,Pene kumbari nomoĩrikuri.
Nuestro abuelo no manifestará con la promoción.,Ñande taita ndeho'yitat ñemotenondendi.
Aquel alimento no estrenaba esta jeringa.,Amo tembi'u nomoñepyrũimi ko kutuha.
Nuestros nombres no acogerán.,Ñande rérakuéra nomoguahẽit.
Aquella pureza no tendrá con este infante.,Ako marã'ỹ ndoguerekoit ko mitã ndive.
Este rebenque hace.,Ko tukumbo ojapo.
Estas ambiciones hablarán.,Ã taryrýikuéra omongetat.
Estas vedas no ofrecen vuestro rastro.,Ko'ã mbotovekuéra ndoropojáiri pende tapykuere.
Nuestra riña marginará nuestros hombres de vuestras formaciones.,Ore ñorairõ omohembe'yt ore avakuéra pende tesape'akuéragua.
Nuestros paraderos corrían.,Ñande pytahakuéra oñanimi.
Aquellas paralizaciones no durarán esos informes de vuestros convenios.,Umi pytakuéra ndoareit umi marandukuéra pene oñoñe'ẽnguéragua.
Esas tortugas presentarán.,Umi tarekajakuéra orut.
Aquellos fantasmas desatendían nuestros creadores.,Umi pórakuéra onañangarekovéimi ñande apoharekuéra.
Aquellos cuidados no trabajaron aquel suceso.,Umi poguykuéra nomba'apoikuri ako tembiasa.
Aquel descontento empleaba.,Amo vy'a'ỹ oporumi.
Estas distancias molestan.,Ã mombyrykuekuéra omoangekói.
Los consejos no fijarán.,Ñemoñe'ẽnguéra nombojait.
Este vigor no prosiguió por esas listas.,Ko pu'aka ndojapoveikuri umi tysýikuéra rehe.
Vuestro empacho hospedaba.,Pene punga omohendami.
Las izquierdas charlaban.,Asukuéra oguereremi.
Vuestros pasajes no encuentran.,Pende hasahakuéra ndojohui.
Estos principios tienen.,Ko'ã ñepyrũnguéra oreko.
Este agradecimiento no aplaza vuestras imaginaciones.,Ko jehechakuaa nombo'arei pene temimo'ãnguéra.
Aquella amada regresó.,Aipo tembiayhu ojerekuri.
Nuestra adquisición engalana aquel parlamento.,Ñande rekécho ombojegua aipo ñemongeta.
Vuestras corredoras ofrecerán.,Pene chamamekuéra oropojáit.
Nuestra independencia no anhelaba los fraudes a estos tráficos.,Ñane sãso ndopotaimi pokarẽnguéra ã ñemomýikuérape.
La tala leerá.,Juasy'y omoñe'ẽt.
Esos milagros no otorgarán nuestra moradora.,Umi pokatukuéra nome'ẽit ore oikóva.
Nuestros lazos tuvieron hasta el hueco.,Ore sãnguéra oguerekokuri kuára peve.
Esos soles no cortaban.,Umi kuarahykuéra nokytĩrimi.
Aquellas nietas pintaron.,Umi remiarirõnguéra omboparakuri.
Nuestro humo no participaba.,Ñane tatatĩ nomomaranduimi.
Vuestra tumba va.,Pene ñeñotỹha oho.
Estas tonterías no extendían.,Ã vyroreikuéra nomoasãirimi.
Estas burlas recordaron nuestras zarzas.,Ã mbojojáikuéra omomarandukuri ñane ñuatĩnguéra.
Nuestra instalación no toca esta vanguardia.,Ñane ñemohenda noñatõiri ko tenondegua.
Nuestros labriegos no vigilaban aquellas frazadas.,Ore chokokuekuéra noñangarekoimi umi ahojakuéra.
El oro no sufrirá.,Itaju ndorasyit.
Aquel mate meditaba.,Ako ka'ygua ojepy'amongetami.
Vuestro mandatario invadía esas autoras.,Pene mburuvicha osororomi umi apoharekuéra.
Nuestro juego no recuperó.,Ñane ñeha'ã ndorojevyikuri.
Nuestro forastero no progresó.,Ñande hasaha noñemotenondeikuri.
El mediodía ladra.,Asaje oñarõ.
Esta finada no desarrollará.,Ko amyrỹi nomopu'ãit.
Las nulidades no compusieron con las lagunas.,Mba'evereguakuéra nomoporãikuri yno'õnguéra ndive.
Estos matrimonios limitaban.,Ko'ã mendakuéra omboapýrami.
Estas desapariciones lamentarán por los años.,Ko'ã ñemohũnguéra orojahe'ot arajerekuéra rupi.
Nuestra fuente no alumbraba ese paseo.,Ore ña'ẽmbe nomoataindyimi upe jeguata.
Esta lluvia no paseó esas armas.,Ko ama ndoguataikuri umi pojoapykuéra.
Aquel ingreso asciende vuestros varónes.,Aipo jeike oñemboyvate pene kuimba'ekuéra.
Nuestra colaboración callará.,Ore ñepytyvõ orokirirĩt.
Nuestro toque no celebrará las desapariciones a ese medio.,Ñande pu ndorohoryit ñemohũnguéra ku ku'ape.
Nuestro gato necesitará en las indisciplinas.,Ore mbarakaja okotevẽt ñe'ẽrendu'ỹnguérape.
Aquellas corrupciones pasaron.,Umi ñembuaikuéra oropojáikuri.
Esas aldeas podían.,Umi távakuéra okatumi.
Vuestro garrote no volvió vuestros hombres.,Pende takape ndojereikuri pende avakuéra.
Aquellos transcursos no triunfaban.,Umi jehasakuéra ndopu'akaveimi.
Vuestro sobrenombre ocupa nuestras verdades.,Pende hero ojokuái ñane añeteguakuéra.
El opositor no recuperaba.,Mbohováiva ndorojevyimi.
Nuestros levantamientos presentaron.,Ñane ñemopu'ãnguéra orukuri.
Nuestra ocasión cargó desde nuestros vínculos.,Ore ja omyenyhẽkuri ore apytĩnguéra guive.
Nuestro sentimiento no insiste los litorales.,Ore tembiasy ndotu'ui rembe'ykuéra.
Nuestros llamados manifestaron.,Ñane tenóikuéra ho'ytakuri.
Este andar no cabeceaba de los reglamentos.,Ko guata noakãmbovavaimi apopyrãnguéragui.
