achúrakuera,achúra,N,C,0,P,menudencias,menudencia,N,C,F,P
py'akuera,py'a,N,C,0,P,entrañas,entraña,N,C,F,P
py'a,py'a,N,C,0,S,estómago,estómago,N,C,M,S
py'akuera,py'a,N,C,0,P,estómagos,estómago,N,C,M,P
py'a,py'a,N,C,0,S,corazón,corazón,N,C,M,S
py'akuera,py'a,N,C,0,P,corazones,corazón,N,C,M,P
py'a,py'a,N,C,0,S,ánimo,ánimo,N,C,M,S
py'akuera,py'a,N,C,0,P,ánimos,ánimo,N,C,M,P
py'a,py'a,N,C,0,S,conciencia,conciencia,N,C,F,S
py'akuera,py'a,N,C,0,P,conciencias,conciencia,N,C,F,P
py'aguapykuera,py'aguapy,N,C,0,P,paces,paz,N,C,F,P
py'aguapy,py'aguapy,N,C,0,S,paz,paz,N,C,F,S
py'aguapy,py'aguapy,N,C,0,S,tranquilidad,tranquilidad,N,C,F,S
py'aguapykuera,py'aguapy,N,C,0,P,tranquilidades,tranquilidad,N,C,F,P
py'aguapy,py'aguapy,N,C,0,S,aplomo,aplomo,N,C,M,S
py'aguapykuera,py'aguapy,N,C,0,P,aplomos,aplomo,N,C,M,P
py'aguapy,py'aguapy,N,C,0,S,felicidad,felicidad,N,C,F,S
py'aguapykuera,py'aguapy,N,C,0,P,felicidades,felicidad,N,C,F,P
py'aguapy,py'aguapy,N,C,0,S,temperancia,temperancia,N,C,F,S
py'aguapykuera,py'aguapy,N,C,0,P,temperancias,temperancia,N,C,F,P
py'aguapykuera,py'aguapy,N,C,0,P,placideces,placidez,N,C,F,P
py'aguapy,py'aguapy,N,C,0,S,placidez,placidez,N,C,F,S
py'aguapy,py'aguapy,N,C,0,S,serenidad,serenidad,N,C,F,S
py'aguapykuera,py'aguapy,N,C,0,P,serenidades,serenidad,N,C,F,P
py'aguapy,py'aguapy,N,C,0,S,paciencia,paciencia,N,C,F,S
py'aguapykuera,py'aguapy,N,C,0,P,paciencias,paciencia,N,C,F,P
py'aguapy,py'aguapy,N,C,0,S,quietud,quietud,N,C,F,S
py'aguapykuera,py'aguapy,N,C,0,P,quietudes,quietud,N,C,F,P
py'aguapy,py'aguapy,N,C,0,S,sosiego,sosiego,N,C,M,S
py'aguapykuera,py'aguapy,N,C,0,P,sosiegos,sosiego,N,C,M,P
py'aguapykuera,py'aguapy,N,C,0,P,sensateces,sensatez,N,C,F,P
py'aguapy,py'aguapy,N,C,0,S,sensatez,sensatez,N,C,F,S
py'aguapy'ỹ,py'aguapy'ỹ,N,C,0,S,intranquilidad,intranquilidad,N,C,F,S
py'aguapy'ỹkuera,py'aguapy'ỹ,N,C,0,P,intranquilidades,intranquilidad,N,C,F,P
py'aguasu,py'aguasu,N,C,0,S,valor,valor,N,C,M,S
py'aguasukuera,py'aguasu,N,C,0,P,valores,valor,N,C,M,P
py'aguasu,py'aguasu,N,C,0,S,valentía,valentía,N,C,F,S
py'aguasukuera,py'aguasu,N,C,0,P,valentías,valentía,N,C,F,P
py'aguasu,py'aguasu,N,C,0,S,audacia,audacia,N,C,F,S
py'aguasukuera,py'aguasu,N,C,0,P,audacias,audacia,N,C,F,P
py'aguasu,py'aguasu,N,C,0,S,coraje,coraje,N,C,M,S
py'aguasukuera,py'aguasu,N,C,0,P,corajes,coraje,N,C,M,P
py'aguasu,py'aguasu,N,C,0,S,arrojo,arrojo,N,C,M,S
py'aguasukuera,py'aguasu,N,C,0,P,arrojos,arrojo,N,C,M,P
py'aheta,py'aheta,N,C,0,S,duda,duda,N,C,F,S
py'ahetakuera,py'aheta,N,C,0,P,dudas,duda,N,C,F,P
py'aheta,py'aheta,N,C,0,S,incertidumbre,incertidumbre,N,C,F,S
py'ahetakuera,py'aheta,N,C,0,P,incertidumbres,incertidumbre,N,C,F,P
py'aho,py'aho,N,C,0,S,recuerdo,recuerdo,N,C,M,S
py'ahokuera,py'aho,N,C,0,P,recuerdos,recuerdo,N,C,M,P
py'aho,py'aho,N,C,0,S,pensamiento,pensamiento,N,C,M,S
py'ahokuera,py'aho,N,C,0,P,pensamientos,pensamiento,N,C,M,P
py'aho,py'aho,N,C,0,S,memoria,memoria,N,C,F,S
py'ahokuera,py'aho,N,C,0,P,memorias,memoria,N,C,F,P
py'aho,py'aho,N,C,0,S,anhelo,anhelo,N,C,M,S
py'ahokuera,py'aho,N,C,0,P,anhelos,anhelo,N,C,M,P
py'ahái,py'ahái,N,C,0,S,agriera,agriera,N,C,F,S
py'aháikuera,py'ahái,N,C,0,P,agrieras,agriera,N,C,F,P
py'ahái,py'ahái,N,C,0,S,malquerencia,malquerencia,N,C,F,S
py'aháikuera,py'ahái,N,C,0,P,malquerencias,malquerencia,N,C,F,P
py'ajere,py'ajere,N,C,0,S,náusea,náusea,N,C,F,S
py'ajerekuera,py'ajere,N,C,0,P,náuseas,náusea,N,C,F,P
py'ajoko,py'ajoko,N,C,0,S,bocado,bocado,N,C,M,S
py'ajokokuera,py'ajoko,N,C,0,P,bocados,bocado,N,C,M,P
py'ajoko,py'ajoko,N,C,0,S,entrada,entrada,N,C,F,S
py'ajokokuera,py'ajoko,N,C,0,P,entradas,entrada,N,C,F,P
py'ajoko,py'ajoko,N,C,0,S,refrigerio,refrigerio,N,C,M,S
py'ajokokuera,py'ajoko,N,C,0,P,refrigerios,refrigerio,N,C,M,P
py'ajoko,py'ajoko,N,C,0,S,merienda,merienda,N,C,F,S
py'ajokokuera,py'ajoko,N,C,0,P,meriendas,merienda,N,C,F,P
py'ajopyha,py'ajopyha,N,C,0,S,aflicción,aflicción,N,C,F,S
py'ajopyhakuera,py'ajopyha,N,C,0,P,aflicciones,aflicción,N,C,F,P
py'ajopyha,py'ajopyha,N,C,0,S,preocupación,preocupación,N,C,F,S
py'ajopyhakuera,py'ajopyha,N,C,0,P,preocupaciones,preocupación,N,C,F,P
py'ajoyvy,py'ajoyvy,N,C,0,S,traición,traición,N,C,F,S
py'ajoyvykuera,py'ajoyvy,N,C,0,P,traiciones,traición,N,C,F,P
py'ako'õ,py'ako'õ,N,C,0,S,odio,odio,N,C,M,S
py'ako'õkuera,py'ako'õ,N,C,0,P,odios,odio,N,C,M,P
py'ako'õ,py'ako'õ,N,C,0,S,rencor,rencor,N,C,M,S
py'ako'õkuera,py'ako'õ,N,C,0,P,rencores,rencor,N,C,M,P
py'amano,py'amano,N,C,0,S,desmayo,desmayo,N,C,M,S
py'amanonguera,py'amano,N,C,0,P,desmayos,desmayo,N,C,M,P
py'amano,py'amano,N,C,0,S,desvanecimiento,desvanecimiento,N,C,M,S
py'amanonguera,py'amano,N,C,0,P,desvanecimientos,desvanecimiento,N,C,M,P
py'amano,py'amano,N,C,0,S,vahído,vahído,N,C,M,S
py'amanonguera,py'amano,N,C,0,P,vahídos,vahído,N,C,M,P
py'amirĩ,py'amirĩ,N,C,0,S,cobardía,cobardía,N,C,F,S
py'amirĩnguera,py'amirĩ,N,C,0,P,cobardías,cobardía,N,C,F,P
py'amokõi,py'amokõi,N,C,0,S,duda,duda,N,C,F,S
py'amokõinguera,py'amokõi,N,C,0,P,dudas,duda,N,C,F,P
py'amokõi,py'amokõi,N,C,0,S,incertidumbre,incertidumbre,N,C,F,S
py'amokõinguera,py'amokõi,N,C,0,P,incertidumbres,incertidumbre,N,C,F,P
py'amongeta,py'amongeta,N,C,0,S,pensamiento,pensamiento,N,C,M,S
py'amongetanguera,py'amongeta,N,C,0,P,pensamientos,pensamiento,N,C,M,P
py'amongeta,py'amongeta,N,C,0,S,reflexión,reflexión,N,C,F,S
py'amongetanguera,py'amongeta,N,C,0,P,reflexiones,reflexión,N,C,F,P
py'amongeta,py'amongeta,N,C,0,S,meditación,meditación,N,C,F,S
py'amongetanguera,py'amongeta,N,C,0,P,meditaciones,meditación,N,C,F,P
py'amongetanguera,py'amongeta,N,C,0,P,meditaciónes,meditación,N,C,F,P
py'angata,py'angata,N,C,0,S,pensamiento,pensamiento,N,C,M,S
py'angatanguera,py'angata,N,C,0,P,pensamientos,pensamiento,N,C,M,P
py'angata,py'angata,N,C,0,S,reflexión,reflexión,N,C,F,S
py'angatanguera,py'angata,N,C,0,P,reflexiones,reflexión,N,C,F,P
py'angata,py'angata,N,C,0,S,desvelo,desvelo,N,C,M,S
py'angatanguera,py'angata,N,C,0,P,desvelos,desvelo,N,C,M,P
py'angekói,py'angekói,N,C,0,S,melancolía,melancolía,N,C,F,S
py'angekóinguera,py'angekói,N,C,0,P,melancolías,melancolía,N,C,F,P
py'angekói,py'angekói,N,C,0,S,quebranto,quebranto,N,C,M,S
py'angekóinguera,py'angekói,N,C,0,P,quebrantos,quebranto,N,C,M,P
py'aperere,py'aperere,N,C,0,S,taquicardia,taquicardia,N,C,F,S
py'apererekuera,py'aperere,N,C,0,P,taquicardias,taquicardia,N,C,F,P
py'aperere,py'aperere,N,C,0,S,inquietud,inquietud,N,C,F,S
py'apererekuera,py'aperere,N,C,0,P,inquietudes,inquietud,N,C,F,P
py'apopo,py'apopo,N,C,0,S,sobresalto,sobresalto,N,C,M,S
py'apopokuera,py'apopo,N,C,0,P,sobresaltos,sobresalto,N,C,M,P
py'aporã,py'aporã,N,C,0,S,bondad,bondad,N,C,F,S
py'aporãkuera,py'aporã,N,C,0,P,bondades,bondad,N,C,F,P
py'apy,py'apy,N,C,0,S,pena,pena,N,C,F,S
py'apykuera,py'apy,N,C,0,P,penas,pena,N,C,F,P
py'apy,py'apy,N,C,0,S,quebranto,quebranto,N,C,M,S
py'apykuera,py'apy,N,C,0,P,quebrantos,quebranto,N,C,M,P
py'apy,py'apy,N,C,0,S,preocupación,preocupación,N,C,F,S
py'apykuera,py'apy,N,C,0,P,preocupaciones,preocupación,N,C,F,P
py'apy,py'apy,N,C,0,S,aflicción,aflicción,N,C,F,S
py'apykuera,py'apy,N,C,0,P,aflicciones,aflicción,N,C,F,P
py'apy,py'apy,N,C,0,S,pesar,pesar,N,C,M,S
py'apykuera,py'apy,N,C,0,P,pesares,pesar,N,C,M,P
py'apy,py'apy,N,C,0,S,ansia,ansia,N,C,F,S
py'apykuera,py'apy,N,C,0,P,ansias,ansia,N,C,F,P
py'araku,py'araku,N,C,0,S,acaloramiento,acaloramiento,N,C,M,S
py'arakukuera,py'araku,N,C,0,P,acaloramientos,acaloramiento,N,C,M,P
py'araku,py'araku,N,C,0,S,entusiasmo,entusiasmo,N,C,M,S
py'arakukuera,py'araku,N,C,0,P,entusiasmos,entusiasmo,N,C,M,P
py'araku,py'araku,N,C,0,S,fervor,fervor,N,C,M,S
py'arakukuera,py'araku,N,C,0,P,fervores,fervor,N,C,M,P
py'araku,py'araku,N,C,0,S,apasionamiento,apasionamiento,N,C,M,S
py'arakukuera,py'araku,N,C,0,P,apasionamientos,apasionamiento,N,C,M,P
py'arasy,py'arasy,N,C,0,S,hambre,hambre,N,C,F,S
py'arasykuera,py'arasy,N,C,0,P,hambres,hambre,N,C,F,P
py'ara'ã,py'ara'ã,N,C,0,S,prueba,prueba,N,C,F,S
py'ara'ãkuera,py'ara'ã,N,C,0,P,pruebas,prueba,N,C,F,P
py'ara'ã,py'ara'ã,N,C,0,S,reto,reto,N,C,M,S
py'ara'ãkuera,py'ara'ã,N,C,0,P,retos,reto,N,C,M,P
py'aremói,py'aremói,N,C,0,S,remordimiento,remordimiento,N,C,M,S
py'aremóinguera,py'aremói,N,C,0,P,remordimientos,remordimiento,N,C,M,P
py'aro,py'aro,N,C,0,S,odio,odio,N,C,M,S
py'arokuera,py'aro,N,C,0,P,odios,odio,N,C,M,P
py'aro,py'aro,N,C,0,S,rencor,rencor,N,C,M,S
py'arokuera,py'aro,N,C,0,P,rencores,rencor,N,C,M,P
py'aro,py'aro,N,C,0,S,enemistad,enemistad,N,C,F,S
py'arokuera,py'aro,N,C,0,P,enemistades,enemistad,N,C,F,P
py'aro,py'aro,N,C,0,S,resentimiento,resentimiento,N,C,M,S
py'arokuera,py'aro,N,C,0,P,resentimientos,resentimiento,N,C,M,P
py'aro,py'aro,N,C,0,S,pesadumbre,pesadumbre,N,C,F,S
py'arokuera,py'aro,N,C,0,P,pesadumbres,pesadumbre,N,C,F,P
py'aropu,py'aropu,N,C,0,S,desazón,desazón,N,C,F,S
py'aropukuera,py'aropu,N,C,0,P,desazones,desazón,N,C,F,P
py'aropu,py'aropu,N,C,0,S,desesperación,desesperación,N,C,F,S
py'aropukuera,py'aropu,N,C,0,P,desesperaciones,desesperación,N,C,F,P
py'arory,py'arory,N,C,0,S,dicha,dicha,N,C,F,S
py'arorykuera,py'arory,N,C,0,P,dichas,dicha,N,C,F,P
py'arory,py'arory,N,C,0,S,felicidad,felicidad,N,C,F,S
py'arorykuera,py'arory,N,C,0,P,felicidades,felicidad,N,C,F,P
py'arẽ,py'arẽ,N,C,0,S,rencor,rencor,N,C,M,S
py'arẽkuera,py'arẽ,N,C,0,P,rencores,rencor,N,C,M,P
py'arẽ,py'arẽ,N,C,0,S,malquerencia,malquerencia,N,C,F,S
py'arẽkuera,py'arẽ,N,C,0,P,malquerencias,malquerencia,N,C,F,P
py'asãngue,py'asãngue,N,C,0,S,diafragma,diafragma,N,C,M,S
py'asãnguenguera,py'asãngue,N,C,0,P,diafragmas,diafragma,N,C,M,P
py'atarova,py'atarova,N,C,0,S,locura,locura,N,C,F,S
py'atarovakuera,py'atarova,N,C,0,P,locuras,locura,N,C,F,P
py'atarova,py'atarova,N,C,0,S,desconcierto,desconcierto,N,C,M,S
py'atarovakuera,py'atarova,N,C,0,P,desconciertos,desconcierto,N,C,M,P
py'atarova,py'atarova,N,C,0,S,desorientación,desorientación,N,C,F,S
py'atarovakuera,py'atarova,N,C,0,P,desorientaciones,desorientación,N,C,F,P
py'atarova,py'atarova,N,C,0,S,agitación,agitación,N,C,F,S
py'atarovakuera,py'atarova,N,C,0,P,agitaciones,agitación,N,C,F,P
py'atarova,py'atarova,N,C,0,S,desesperación,desesperación,N,C,F,S
py'atarovakuera,py'atarova,N,C,0,P,desesperaciones,desesperación,N,C,F,P
py'atyai,py'atyai,N,C,0,S,resentimiento,resentimiento,N,C,M,S
py'atyaikuera,py'atyai,N,C,0,P,resentimientos,resentimiento,N,C,M,P
py'atã,py'atã,N,C,0,S,convalecencia,convalecencia,N,C,F,S
py'atãkuera,py'atã,N,C,0,P,convalecencias,convalecencia,N,C,F,P
py'atã,py'atã,N,C,0,S,restablecimiento,restablecimiento,N,C,M,S
py'atãkuera,py'atã,N,C,0,P,restablecimientos,restablecimiento,N,C,M,P
py'avaikuera,py'avai,N,C,0,P,náuseas,náusea,N,C,F,P
py'avai,py'avai,N,C,0,S,indigestión,indigestión,N,C,F,S
py'avaikuera,py'avai,N,C,0,P,indigestiones,indigestión,N,C,F,P
py'añatõi,py'añatõi,N,C,0,S,presentimiento,presentimiento,N,C,M,S
py'añatõikuera,py'añatõi,N,C,0,P,presentimientos,presentimiento,N,C,M,P
py'añemongeta,py'añemongeta,N,C,0,S,raciocinio,raciocinio,N,C,M,S
py'añemongetanguera,py'añemongeta,N,C,0,P,raciocinios,raciocinio,N,C,M,P
páy,páy,N,C,0,S,vigilia,vigilia,N,C,F,S
páykuera,páy,N,C,0,P,vigilias,vigilia,N,C,F,P
páy,páy,N,C,0,S,despertar,despertar,N,C,M,S
páykuera,páy,N,C,0,P,despertares,despertar,N,C,M,P
péu,péu,N,C,0,S,pus,pus,N,C,M,S
péukuera,péu,N,C,0,P,puses,pus,N,C,M,P
péu,péu,N,C,0,S,quiste,quiste,N,C,M,S
péukuera,péu,N,C,0,P,quistes,quiste,N,C,M,P
póra,póra,N,C,0,S,fantasma,fantasma,N,C,M,S
pórakuera,póra,N,C,0,P,fantasmas,fantasma,N,C,M,P
póra,póra,N,C,0,S,cuca,cuco,N,C,F,S
pórakuera,póra,N,C,0,P,cucas,cuco,N,C,F,P
póra,póra,N,C,0,S,cuco,cuco,N,C,M,S
pórakuera,póra,N,C,0,P,cucos,cuco,N,C,M,P
póra,póra,N,C,0,S,duende,duende,N,C,M,S
pórakuera,póra,N,C,0,P,duendes,duende,N,C,M,P
póra,póra,N,C,0,S,ninfa,ninfa,N,C,F,S
pórakuera,póra,N,C,0,P,ninfas,ninfa,N,C,F,P
póra,póra,N,C,0,S,visión,visión,N,C,F,S
pórakuera,póra,N,C,0,P,visiones,visión,N,C,F,P
pẽ,pẽ,N,C,0,S,fractura,fractura,N,C,F,S
pẽkuera,pẽ,N,C,0,P,fracturas,fractura,N,C,F,P
rague,rague,N,C,0,S,pelo,pelo,N,C,M,S
raguekuera,rague,N,C,0,P,pelos,pelo,N,C,M,P
raguekuera,rague,N,C,0,P,plumas,pluma,N,C,F,P
rague,rague,N,C,0,S,cabello,cabello,N,C,M,S
raguekuera,rague,N,C,0,P,cabellos,cabello,N,C,M,P
rague,rague,N,C,0,S,lana,lana,N,C,F,S
raguekuera,rague,N,C,0,P,lanas,lana,N,C,F,P
raguino,raguino,N,C,0,S,fermento,fermento,N,C,M,S
raguinonguera,raguino,N,C,0,P,fermentos,fermento,N,C,M,P
ragẽ,ragẽ,N,C,0,S,apuro,apuro,N,C,M,S
ragẽkuera,ragẽ,N,C,0,P,apuros,apuro,N,C,M,P
ragẽ,ragẽ,N,C,0,S,prisa,prisa,N,C,F,S
ragẽkuera,ragẽ,N,C,0,P,prisas,prisa,N,C,F,P
rahaha,rahaha,N,C,0,S,portador,portador,N,C,M,S
rahaha,rahaha,N,C,0,S,portadora,portador,N,C,F,S
rahahakuera,rahaha,N,C,0,P,portadoras,portador,N,C,F,P
rahahakuera,rahaha,N,C,0,P,portadores,portador,N,C,M,P
rairõ,rairõ,N,C,0,S,violencia,violencia,N,C,F,S
rairõkuera,rairõ,N,C,0,P,violencias,violencia,N,C,F,P
rairõ,rairõ,N,C,0,S,ataque,ataque,N,C,M,S
rairõkuera,rairõ,N,C,0,P,ataques,ataque,N,C,M,P
raity,raity,N,C,0,S,nido,nido,N,C,M,S
raitykuera,raity,N,C,0,P,nidos,nido,N,C,M,P
rakamby,rakamby,N,C,0,S,horquilla,horquilla,N,C,F,S
rakambynguera,rakamby,N,C,0,P,horquillas,horquilla,N,C,F,P
rakamby,rakamby,N,C,0,S,horcón,horcón,N,C,M,S
rakambynguera,rakamby,N,C,0,P,horcones,horcón,N,C,M,P
rakambynguera,rakamby,N,C,0,P,entrepiernas,entrepierna,N,C,F,P
rako,rako,N,C,0,S,vulva,vulva,N,C,F,S
rakokuera,rako,N,C,0,P,vulvas,vulva,N,C,F,P
rakã,rakã,N,C,0,S,rama,rama,N,C,F,S
rakãkuera,rakã,N,C,0,P,ramas,rama,N,C,F,P
rakã,rakã,N,C,0,S,gajo,gajo,N,C,M,S
rakãkuera,rakã,N,C,0,P,gajos,gajo,N,C,M,P
rambeypy,rambeypy,N,C,0,S,ingle,ingle,N,C,F,S
rambeypynguera,rambeypy,N,C,0,P,ingles,ingle,N,C,F,P
ramói,ramói,N,C,0,S,antepasada,antepasado,N,C,F,S
ramóinguera,ramói,N,C,0,P,antepasadas,antepasado,N,C,F,P
ramói,ramói,N,C,0,S,antepasado,antepasado,N,C,M,S
ramóinguera,ramói,N,C,0,P,antepasados,antepasado,N,C,M,P
ramói,ramói,N,C,0,S,abuela,abuelo,N,C,F,S
ramóinguera,ramói,N,C,0,P,abuelas,abuelo,N,C,F,P
ramói,ramói,N,C,0,S,abuelo,abuelo,N,C,M,S
ramóinguera,ramói,N,C,0,P,abuelos,abuelo,N,C,M,P
rapicha,rapicha,N,C,0,S,prójima,prójimo,N,C,F,S
rapichakuera,rapicha,N,C,0,P,prójimas,prójimo,N,C,F,P
rapicha,rapicha,N,C,0,S,prójimo,prójimo,N,C,M,S
rapichakuera,rapicha,N,C,0,P,prójimos,prójimo,N,C,M,P
rapicha,rapicha,N,C,0,S,semejante,semejante,N,C,C,S
rapichakuera,rapicha,N,C,0,P,semejantes,semejante,N,C,C,P
rapokuera,rapo,N,C,0,P,raíces,raíz,N,C,F,P
rapo,rapo,N,C,0,S,raíz,raíz,N,C,F,S
rapo,rapo,N,C,0,S,fundamento,fundamento,N,C,M,S
rapokuera,rapo,N,C,0,P,fundamentos,fundamento,N,C,M,P
rapykue,rapykue,N,C,0,S,trasero,trasero,N,C,M,S
rapykuekuera,rapykue,N,C,0,P,traseros,trasero,N,C,M,P
rapykuere,rapykuere,N,C,0,S,huella,huella,N,C,F,S
rapykuerekuera,rapykuere,N,C,0,P,huellas,huella,N,C,F,P
rapykuere,rapykuere,N,C,0,S,pista,pista,N,C,F,S
rapykuerekuera,rapykuere,N,C,0,P,pistas,pista,N,C,F,P
rapykuere,rapykuere,N,C,0,S,rastro,rastro,N,C,M,S
rapykuerekuera,rapykuere,N,C,0,P,rastros,rastro,N,C,M,P
rapykuerigua,rapykuerigua,N,C,0,S,seguidor,seguidor,N,C,M,S
rapykuerigua,rapykuerigua,N,C,0,S,seguidora,seguidor,N,C,F,S
rapykueriguakuera,rapykuerigua,N,C,0,P,seguidoras,seguidor,N,C,F,P
rapykueriguakuera,rapykuerigua,N,C,0,P,seguidores,seguidor,N,C,M,P
rapykuerigua,rapykuerigua,N,C,0,S,partidaria,partidario,N,C,F,S
rapykueriguakuera,rapykuerigua,N,C,0,P,partidarias,partidario,N,C,F,P
rapykuerigua,rapykuerigua,N,C,0,S,partidario,partidario,N,C,M,S
rapykueriguakuera,rapykuerigua,N,C,0,P,partidarios,partidario,N,C,M,P
raso,raso,N,C,0,S,gusano,gusano,N,C,M,S
rasokuera,raso,N,C,0,P,gusanos,gusano,N,C,M,P
rasy,rasy,N,C,0,S,dolor,dolor,N,C,M,S
rasykuera,rasy,N,C,0,P,dolores,dolor,N,C,M,P
rasẽ,rasẽ,N,C,0,S,llanto,llanto,N,C,M,S
rasẽkuera,rasẽ,N,C,0,P,llantos,llanto,N,C,M,P
rata,rata,N,C,0,S,fuego,fuego,N,C,M,S
ratakuera,rata,N,C,0,P,fuegos,fuego,N,C,M,P
ratĩ,ratĩ,N,C,0,S,espina,espina,N,C,F,S
ratĩkuera,ratĩ,N,C,0,P,espinas,espina,N,C,F,P
ratĩ,ratĩ,N,C,0,S,cuerno,cuerno,N,C,M,S
ratĩkuera,ratĩ,N,C,0,P,cuernos,cuerno,N,C,M,P
ravẽ,ravẽ,N,C,0,S,moho,moho,N,C,M,S
ravẽkuera,ravẽ,N,C,0,P,mohos,moho,N,C,M,P
rayhupára,rayhupára,N,C,0,S,amiga,amigo,N,C,F,S
rayhupárakuera,rayhupára,N,C,0,P,amigas,amigo,N,C,F,P
rayhupára,rayhupára,N,C,0,S,amigo,amigo,N,C,M,S
rayhupárakuera,rayhupára,N,C,0,P,amigos,amigo,N,C,M,P
rayhupára,rayhupára,N,C,0,S,amante,amante,N,C,C,S
rayhupárakuera,rayhupára,N,C,0,P,amantes,amante,N,C,C,P
rayhupára,rayhupára,N,C,0,S,querida,querido,N,C,F,S
rayhupárakuera,rayhupára,N,C,0,P,queridas,querido,N,C,F,P
rayhupára,rayhupára,N,C,0,S,querido,querido,N,C,M,S
rayhupárakuera,rayhupára,N,C,0,P,queridos,querido,N,C,M,P
rañykã,rañykã,N,C,0,S,quijada,quijada,N,C,F,S
rañykãkuera,rañykã,N,C,0,P,quijadas,quijada,N,C,F,P
rañykã,rañykã,N,C,0,S,mandíbula,mandíbula,N,C,F,S
rañykãkuera,rañykã,N,C,0,P,mandíbulas,mandíbula,N,C,F,P
rañykãguyruru,rañykãguyruru,N,C,0,S,papera,papera,N,C,F,S
ra'a,ra'a,N,C,0,S,hija,hijo,N,C,F,S
ra'akuera,ra'a,N,C,0,P,hijas,hijo,N,C,F,P
ra'a,ra'a,N,C,0,S,hijo,hijo,N,C,M,S
ra'akuera,ra'a,N,C,0,P,hijos,hijo,N,C,M,P
ra'a,ra'a,N,C,0,S,amiga,amigo,N,C,F,S
ra'akuera,ra'a,N,C,0,P,amigas,amigo,N,C,F,P
ra'a,ra'a,N,C,0,S,amigo,amigo,N,C,M,S
ra'akuera,ra'a,N,C,0,P,amigos,amigo,N,C,M,P
ra'yanga,ra'yanga,N,C,0,S,hijastra,hijastro,N,C,F,S
ra'yanganguera,ra'yanga,N,C,0,P,hijastras,hijastro,N,C,F,P
ra'yanga,ra'yanga,N,C,0,S,hijastro,hijastro,N,C,M,S
ra'yanganguera,ra'yanga,N,C,0,P,hijastros,hijastro,N,C,M,P
ra'yanga,ra'yanga,N,C,0,S,ahijada,ahijado,N,C,F,S
ra'yanganguera,ra'yanga,N,C,0,P,ahijadas,ahijado,N,C,F,P
ra'yanga,ra'yanga,N,C,0,S,ahijado,ahijado,N,C,M,S
ra'yanganguera,ra'yanga,N,C,0,P,ahijados,ahijado,N,C,M,P
ra'ykue,ra'ykue,N,C,0,S,engendro,engendro,N,C,M,S
ra'ykuekuera,ra'ykue,N,C,0,P,engendros,engendro,N,C,M,P
ra'ykue,ra'ykue,N,C,0,S,efecto,efecto,N,C,M,S
ra'ykuekuera,ra'ykue,N,C,0,P,efectos,efecto,N,C,M,P
ra'yranga,ra'yranga,N,C,0,S,hijastra,hijastro,N,C,F,S
ra'yranganguera,ra'yranga,N,C,0,P,hijastras,hijastro,N,C,F,P
ra'yranga,ra'yranga,N,C,0,S,hijastro,hijastro,N,C,M,S
ra'yranganguera,ra'yranga,N,C,0,P,hijastros,hijastro,N,C,M,P
ra'yranga,ra'yranga,N,C,0,S,ahijada,ahijado,N,C,F,S
ra'yranganguera,ra'yranga,N,C,0,P,ahijadas,ahijado,N,C,F,P
ra'yranga,ra'yranga,N,C,0,S,ahijado,ahijado,N,C,M,S
ra'yranganguera,ra'yranga,N,C,0,P,ahijados,ahijado,N,C,M,P
ra'ỹi,ra'ỹi,N,C,0,S,semilla,semilla,N,C,F,S
ra'ỹikuera,ra'ỹi,N,C,0,P,semillas,semilla,N,C,F,P
ra'ỹi,ra'ỹi,N,C,0,S,grano,grano,N,C,M,S
ra'ỹikuera,ra'ỹi,N,C,0,P,granos,grano,N,C,M,P
ra'ỹi,ra'ỹi,N,C,0,S,germen,germen,N,C,M,S
ra'ỹikuera,ra'ỹi,N,C,0,P,gérmenes,germen,N,C,M,P
ra'ỹi,ra'ỹi,N,C,0,S,simiente,simiente,N,C,F,S
ra'ỹikuera,ra'ỹi,N,C,0,P,simientes,simiente,N,C,F,P
ra'ỹi,ra'ỹi,N,C,0,S,semen,semen,N,C,M,S
ra'ỹikuera,ra'ỹi,N,C,0,P,sémenes,semen,N,C,M,P
ra'ỹi,ra'ỹi,N,C,0,S,testículo,testículo,N,C,M,S
ra'ỹikuera,ra'ỹi,N,C,0,P,testículos,testículo,N,C,M,P
ra'ỹingue,ra'ỹingue,N,C,0,S,carozo,carozo,N,C,M,S
ra'ỹinguenguera,ra'ỹingue,N,C,0,P,carozos,carozo,N,C,M,P
rechapy,rechapy,N,C,0,S,panorama,panorama,N,C,M,S
rechapykuera,rechapy,N,C,0,P,panoramas,panorama,N,C,M,P
rechaserei,rechaserei,N,C,0,S,curiosidad,curiosidad,N,C,F,S
rechasereikuera,rechaserei,N,C,0,P,curiosidades,curiosidad,N,C,F,P
reike,reike,N,C,0,S,entrada,entrada,N,C,F,S
reikekuera,reike,N,C,0,P,entradas,entrada,N,C,F,P
reka,reka,N,C,0,S,búsqueda,búsqueda,N,C,F,S
rekakuera,reka,N,C,0,P,búsquedas,búsqueda,N,C,F,P
reko,reko,N,C,0,S,carácter,carácter,N,C,M,S
rekokuera,reko,N,C,0,P,caracteres,carácter,N,C,M,P
rekokuera,reko,N,C,0,P,carácteres,carácter,N,C,M,P
reko,reko,N,C,0,S,costumbre,costumbre,N,C,F,S
rekokuera,reko,N,C,0,P,costumbres,costumbre,N,C,F,P
rekoavy,rekoavy,N,C,0,S,falibilidad,falibilidad,N,C,F,S
